,word1,word2,feq
266,감염증,확산,11
267,고물가,시대,11
268,취재기자,연결,11
269,징역,개월,11
270,임실,치즈,11
271,전국,각지,11
272,고양,고양시,11
273,혐의,기소,11
274,코로나,팬데믹,11
275,특급,특급호텔,11
276,물놀이,놀이,11
277,구독자,보유,11
278,보양식,양식,11
279,그룹,명의,11
280,티이미지뱅크,이미지,11
281,아기,물티슈,11
282,물티슈,티슈,11
283,베이징,동계,11
284,축산,식품,10
285,관광산업,산업,10
286,한국관광공사,공사,10
287,부문,수상,10
288,홈파티,파티,10
289,신한카드,카드,10
290,봉사활동,활동,10
291,농업,기술,10
292,신안,신안군,10
293,롯데,롯데월드,10
294,수산,시장,10
295,맛집,소개,10
296,테마,파크,10
297,현지,현지시각,10
298,한국인,입맛,10
299,전라남,전라남도,10
300,온라인,온라인상,10
301,주문,요청,10
302,요청,사항,10
303,닭똥,닭똥집,10
304,우석,푸드,10
305,푸드,푸드로지,10
306,푸드로지,로지,10
307,실제,방송,10
308,방송,내용,10
309,미식여행,주제,10
310,지속,가능,10
311,출신,스타,10
312,코로나,유행,10
313,와이,와이너리,10
314,와이너리,너리,10
315,식품,유통,10
316,관광,관광명소,10
317,조리,학과,10
318,페스티벌,개최,10
319,배달,배달특급,10
320,배달특급,특급,10
321,경기도주식회사,주식,10
322,사진,사진제공,10
323,사진제공,제공,10
324,기소,징역,10
325,사기,혐의,10
326,외식업체,업체,10
327,동해,동해시,10
328,관광객,발길,10
329,삼성,삼성물산,10
330,삼성물산,물산,10
331,특화,특화거리,10
332,특화거리,거리,10
333,부킹닷컴,닷컴,10
334,대형,대형마트,10
335,대형마트,마트,10
336,수제,수제맥주,10
337,인터,티넨,10
338,유튜버,유튜브,10
339,의혹,제기,10
340,입장,입장문,10
341,유명,여성,10
342,음식값,사기,10
343,삼복,삼복더위,10
344,삼복더위,더위,10
345,팔달,팔달구,10
346,치킨,떡볶이,10
347,주문,후기,10
348,포장,주문,10
349,배달,배달비,10
350,번째,여행지,10
351,합리적,가격,9
352,포장,배달,9
353,임실,임실군,9
354,개그,개그우먼,9
355,개그우먼,우먼,9
356,숙박,숙박시설,9
357,가격,만원,9
358,메리어트,어트,9
359,관광,관광자원,9
360,배달,이유,9
361,수요,증가,9
362,인기,메뉴,9
363,물가,상승,9
364,배달,플랫폼,9
365,봉사,봉사활동,9
366,기술,센터,9
367,남도,남도음식거리,9
368,변호사,우영우,9
369,경남,창원,9
370,반얀트리,트리,9
371,위원회,위원장,9
372,전북,임실,9
373,나주,나주시,9
374,신주희,주희,9
375,소고기,고기,9
376,최대,할인,9
377,클릭,번째,9
378,핼러윈,참사,9
379,케이블,케이블카,9
380,요리,경연,9
381,일원,개최,9
382,건강,먹거리,9
383,식품,식품업계,9
384,성공적,마무리,9
385,역대,역대급,9
386,머니,이영민,9
387,신제품,제품,9
388,농수산식품,식품,9
389,코로나,년간,9
390,호남,호남대학교,9
391,호남대학교,대학교,9
392,확산,확산세가,9
393,확산세가,세가,9
394,정상,개최,9
395,국민,국민카드,9
396,국민카드,카드,9
397,숯불,숯불구이,9
398,숯불구이,구이,9
399,체육,공원,9
400,다양,체험,9
401,다양,공연,9
402,체험,체험학습,9
403,체험학습,학습,9
404,레스토랑,키친,9
405,대면,행사,9
406,여의도,한강,9
407,서울세계불꽃축제,불꽃,9
408,워터,워터파크,9
409,워터파크,파크,9
410,코로나,일상,9
411,추석,연휴,9
412,제일,제일제당,9
413,박나래,나래,9
414,춘천,춘천지법,9
415,춘천지법,지법,9
416,손님맞이,맞이,9
417,펜실,스크랜턴,9
418,호텔,리조트,9
419,향수,향수옥천,9
420,복숭아,축제,9
